source,case_id,molecule_id,source_index,smiles,vina_score_only,vina_status,vina_error,sdf_name,sdf_path,benchmark_metric_path,benchmark_ligand_filename,rdkit_mw,rdkit_heavy_atoms,rdkit_hetero_atoms,rdkit_rings,rdkit_rotatable_bonds,rdkit_hbd,rdkit_hba,rdkit_tpsa,rdkit_logp,rdkit_qed,rdkit_formal_charge,case_generated_sdf_count,case_generated_vina_scored_count,case_generated_vina_scored_fraction,case_curated_without_opt_count,case_generated_vina_score_mean,case_curated_vina_score_mean,case_generated_minus_curated_vina_score_mean
generated,14gs,generated:14gs:0,0,Cc1cccc(OC2=C(Nc3ccc(O)c(CO)c3)N(Cl)NC2)c1,-5.567,ok,,14gs_protein.pdb_generated_0.sdf,data/generated/14gs/run_a/14gs_protein.pdb_generated_0.sdf,,,347.8020,24.0000,7.0000,3.0000,5.0000,4.0000,6.0000,76.9900,2.8269,0.4920,0.0000,95,95,1.000,98,-6.403,-6.746,0.343
generated,14gs,generated:14gs:1,1,CCC[C@H]1OCC[C@H]1N1CCC2=C(C1)C(=O)OC[C@@H]2c1ccc(C)cc1,-6.246,ok,,14gs_protein.pdb_generated_1.sdf,data/generated/14gs/run_a/14gs_protein.pdb_generated_1.sdf,,,355.4780,26.0000,4.0000,4.0000,4.0000,0.0000,4.0000,38.7700,3.5953,0.7739,0.0000,95,95,1.000,98,-6.403,-6.746,0.343
generated,14gs,generated:14gs:10,10,CC1=CC=C2CN(CCOC3=C4C=CCC(O)=C4NC3)C(NO)=C2C1,-5.366,ok,,14gs_protein.pdb_generated_10.sdf,data/generated/14gs/run_a/14gs_protein.pdb_generated_10.sdf,,,341.4110,25.0000,6.0000,4.0000,5.0000,4.0000,6.0000,76.9900,2.3722,0.5754,0.0000,95,95,1.000,98,-6.403,-6.746,0.343
generated,14gs,generated:14gs:11,11,CCC1CC[C@@]2(C[C@@H]1O)S[C@H]1[C@@H](C(=O)O)Cc3c(O)cccc3N1C2=O,-7.21,ok,,14gs_protein.pdb_generated_11.sdf,data/generated/14gs/run_a/14gs_protein.pdb_generated_11.sdf,,,377.4620,26.0000,7.0000,4.0000,2.0000,3.0000,5.0000,98.0700,2.3648,0.7319,0.0000,95,95,1.000,98,-6.403,-6.746,0.343
generated,14gs,generated:14gs:12,12,CC(C)CC(O)C1=C(c2ccccc2)C(=O)N1[C@H](C)c1cncnc1,-5.682,ok,,14gs_protein.pdb_generated_12.sdf,data/generated/14gs/run_a/14gs_protein.pdb_generated_12.sdf,,,337.4230,25.0000,5.0000,3.0000,6.0000,1.0000,4.0000,66.3200,3.1981,0.8789,0.0000,95,95,1.000,98,-6.403,-6.746,0.343
generated,14gs,generated:14gs:13,13,Cc1ccc([C@@H]2[C@H](O)[C@H](C[C@@]3(O)CCN(C(=O)c4cccc(O)c4)C3=O)O[C@H]2O)cc1,-6.009,ok,,14gs_protein.pdb_generated_13.sdf,data/generated/14gs/run_a/14gs_protein.pdb_generated_13.sdf,,,427.4530,31.0000,8.0000,4.0000,4.0000,4.0000,7.0000,127.5300,1.0562,0.5374,0.0000,95,95,1.000,98,-6.403,-6.746,0.343
generated,14gs,generated:14gs:14,14,C[C@@H](C1CCCCCC1)[C@H](O)c1ccccc1CC(=O)O,-3.009,ok,,14gs_protein.pdb_generated_14.sdf,data/generated/14gs/run_a/14gs_protein.pdb_generated_14.sdf,,,290.4030,21.0000,3.0000,2.0000,5.0000,2.0000,2.0000,57.5300,3.9536,0.8071,0.0000,95,95,1.000,98,-6.403,-6.746,0.343
generated,14gs,generated:14gs:15,15,O=C(O)O[C@H]1CN2CC=CC=C2O[C@H]1[C@H](O)c1ccc2ncccc2c1,-8.116,ok,,14gs_protein.pdb_generated_15.sdf,data/generated/14gs/run_a/14gs_protein.pdb_generated_15.sdf,,,354.3620,26.0000,7.0000,4.0000,3.0000,2.0000,6.0000,92.1200,2.4434,0.8180,0.0000,95,95,1.000,98,-6.403,-6.746,0.343
generated,14gs,generated:14gs:16,16,O=C1CN2[C@H](Cc3c(O)cccc31)C[C@@H](C1(O)CCCCC1)C[C@@H]1CC[C@@H]12,-7.671,ok,,14gs_protein.pdb_generated_16.sdf,data/generated/14gs/run_a/14gs_protein.pdb_generated_16.sdf,,,369.5050,27.0000,4.0000,5.0000,1.0000,2.0000,4.0000,60.7700,3.6854,0.7926,0.0000,95,95,1.000,98,-6.403,-6.746,0.343
generated,14gs,generated:14gs:17,17,CN(Cc1ccccc1)c1cccc(NC2CCCCC2)c1C(=O)O,-5.883,ok,,14gs_protein.pdb_generated_17.sdf,data/generated/14gs/run_a/14gs_protein.pdb_generated_17.sdf,,,338.4510,25.0000,4.0000,3.0000,6.0000,2.0000,3.0000,52.5700,4.7658,0.7967,0.0000,95,95,1.000,98,-6.403,-6.746,0.343
generated,14gs,generated:14gs:18,18,ONC(CC[C@@H](Nc1ccc(O)cc1)c1ccccc1)=NCc1cccnc1,-5.668,ok,,14gs_protein.pdb_generated_18.sdf,data/generated/14gs/run_a/14gs_protein.pdb_generated_18.sdf,,,376.4600,28.0000,6.0000,3.0000,8.0000,4.0000,5.0000,89.7700,4.2981,0.2037,0.0000,95,95,1.000,98,-6.403,-6.746,0.343
generated,14gs,generated:14gs:19,19,CC1C=CC(C[C@@H]2CO[C@@H](CO)[C@@H](O)[C@@H]([C@H](O)Oc3ccc4ccccc4c3)C2=O)C=C1,-6.815,ok,,14gs_protein.pdb_generated_19.sdf,data/generated/14gs/run_a/14gs_protein.pdb_generated_19.sdf,,,438.5200,32.0000,6.0000,4.0000,6.0000,3.0000,6.0000,96.2200,2.8589,0.4742,0.0000,95,95,1.000,98,-6.403,-6.746,0.343
